,id,name,categories,location.lat,location.lng
75,501c0773e4b06ba2e91155c5,Rustico Fine Foods,Café,43.709012,-79.470864
76,5b760d9eb1538e002c9a5f5d,Food Trip,Filipino Restaurant,43.738397,-79.43422
77,5d50879d32ac8d0008be69d5,DPY Mama's Food Market,Grocery Store,43.73723200550416,-79.4363571703434
78,5042a1ede4b02607d0f2eeab,FV Foods (Filipino Bakery & Asian Cuisine),Filipino Restaurant,43.73748741855667,-79.43442072982069
79,4b56381af964a520e60528e3,Qi Natural Food,Grocery Store,43.663714406826,-79.41774925185668
80,4bca8dc1b6c49c7496de9091,Junk Food Truck,Food Truck,43.66240960658337,-79.40628583940982
81,4ec666c07bebb084a3a81d8f,Daily Fresh Food Market,Convenience Store,43.662437222386444,-79.42362166984304
82,4cfa9a2cee9cb60cc94e8bad,Herbs & Nutrition Qi Natural Food,Health Food Store,43.665013428045555,-79.41189818065214
83,5e3605c607fd820007d6f219,Magic Health Food,Weight Loss Center,43.664301,-79.415286
84,4eea8fb377c8730d37eb57af,Food Plus Market,Convenience Store,43.674530236903806,-79.40714069959441
85,5c50cc8f8d0a53002c1ac850,The Annex Food Hall,Food Court,43.666285,-79.406433
86,4b6e7cc8f964a52055bf2ce3,food plus market 24 hrs,Grocery Store,43.674514868797786,-79.40713764066462
87,59440bbbb399f710753d18b0,Menu Food Truck,Food Truck,43.66421422314263,-79.40031043449159
88,530b8dac498e0174858564be,Robarts Library Food Court,College Cafeteria,43.66504464581337,-79.39929892016006
89,5363d3ec498e3a9213707e20,Richmond Adelaide Centre Food Court,Food Court,43.672412,-79.402736
90,4d0152d07212b60cc3bcd3bf,Chinese Food Truck - Sidney Smith,Chinese Restaurant,43.662624121853135,-79.39824341514091
91,4ae5d2bcf964a5204fa221e3,Noah's Natural Food,Grocery Store,43.666914516444635,-79.4034584375335
92,4cca2003e47f5481bb13c6f7,Chinese Food Truck,Food Truck,43.663658573630634,-79.3983313743529
93,51b78d02498ef3c190455409,Mom's Korean Restaurant,Korean Restaurant,43.6646250121462,-79.41366853502585
94,4c487fed19fde21e36cc0b76,Ken's Snack Service - Chinese Food Truck,Food Truck,43.66130754064001,-79.39766618073506
95,4d694b386297721eded9c6b5,Health Valley Natural Foods,,43.666001,-79.406705
96,4ad4c05ff964a52014f720e3,Papa Ceo Fine Italian Foods & Pizza,Pizza Place,43.66329982959619,-79.40231705278073
97,4c000fe1ca1920a10cc6ed81,Harbord Foods,Grocery Store,43.66028097,-79.41642018
98,50707f89e4b019e66b10b8e7,Amore Fine Foods,Italian Restaurant,43.6720624028808,-79.41910939095219
99,4bc719286501c9b63abd3d29,Life choices natural foods,,43.669533,-79.399983
100,534727ee11d20a0545f39151,Kee's Fine Foods,Food Truck,43.663013,-79.398108
101,4b71ede3f964a520cd642de3,Kee's Fine Foods,Food Truck,43.66319065887404,-79.39808398885582
102,4c1aa175b9f876b07bf87846,Magnolia Fine Foods,Gourmet Shop,43.65566969653097,-79.41159576435575
103,527beeb211d295bc9cbfb692,Ritz Caribbean Food,Caribbean Restaurant,43.66954527049821,-79.38650615702159
104,54f9f4ba498e930a82805214,Orderit Food Delivery,Restaurant,43.670665415535005,-79.38939571380615
105,5b33d0500d173f0039d5bdf8,Cabano's Comfort Food,Restaurant,43.66772415566321,-79.38660085201262
106,4c99015a2778224b8d12a968,Cumberland Terrace Food Court,Food Court,43.67084740791401,-79.3888701484574
107,536e9711498e44e28c13c75c,frankie fettuccine food truck,Food Truck,43.67202475358508,-79.38782515408403
108,4b3be588f964a520db7d25e3,Noah's Natural Foods,Food & Drink Shop,43.66853209575393,-79.38588463120627
109,4c1129533ce120a18840091c,Big Bee Convenience and Food Mart,Convenience Store,43.672502896777516,-79.38813304564451
110,53c83a2d498ee4c3c782a3b9,OMACA Food,Hot Dog Joint,43.67319772812812,-79.38818252812116
111,5b5cb0af345cbe002cdebd66,Yorkville Village Food Court,Food Court,43.670949,-79.394613
112,4fdbb934e4b0f86f6ad43857,Bori Convenience Food Mart,Convenience Store,43.665657051136535,-79.38033647597355
113,4ca63600a6e08cfa286b7894,Hudson's Bay Centre - Food Court,Food Court,43.6713931854864,-79.38461303418677
114,4bb11a0df964a5208f7a3ce3,Jong Young Food & Flower Market,Flower Shop,43.674084765002526,-79.39632091526352
115,57f41a9e498e31c705ed12f6,Seoul Food,Korean Restaurant,43.671971,-79.376812
116,55e25a73498e2820e391bd27,Che Food Truck,Food Truck,43.670370408241766,-79.3791102985356
117,4bcb5c7a68f976b053ec6083,Rabba Fine Foods,Grocery Store,43.6684747254827,-79.38825400276295
118,53af31a9498e8de9d6389c04,Just Falafel  . . . Redefining Street Food,Mediterranean Restaurant,43.661798749133474,-79.38612623401507
119,4e72738b1f6e1a1b4cdacf2b,Feed Me More Pet Foods,Pet Store,43.6639154537487,-79.38021337647847
120,50994431e4b0c6421eb0d1e9,Jack Astor's Band of Chefs Food Truck,Food Truck,43.67592238709114,-79.38195852454088
121,4b743e64f964a52077cf2de3,Ritz Caribbean Foods,Caribbean Restaurant,43.66150023337985,-79.38322536850163
122,5bae91222b274a002cd91734,Pink Food Truck,Food Truck,43.66017,-79.396935
123,5241bf5e11d283652fdf6027,College Park Food Court,Food Court,43.66117251057127,-79.38361744846544
124,4af25177f964a52057e721e3,Quick Yummy Time Food,,43.65897,-79.381995
125,4be21ca521d5a593ece71511,Toronto General Food Court,Food Court,43.65930919318473,-79.3873609093546
126,580aea74d67c230d453b04aa,Brothers Restaurant,Restaurant,43.6704210468,-79.38979309219646
127,4ba993eef964a520652f3ae3,Rabba Fine Foods,Grocery Store,43.672100513625665,-79.38496024726989
128,4b3a6017f964a520e66525e3,Rabba Fine Foods,Grocery Store,43.66829883264164,-79.38038436631686
129,554ea8bd498efa064ec03031,Paramount Fine Foods,Middle Eastern Restaurant,43.67067671443592,-79.38986486034777
130,4c54d4bf728920a1e3515d83,Rabba Fine Foods,Grocery Store,43.66466202511125,-79.38600527411525
131,4d5837c71270236a8e3a9359,Rabba Fine Foods,Grocery Store,43.666502162813124,-79.37609152323141
132,514b8cdbe4b0b5a9c961e540,H&H Health Foods Centre,Health Food Store,43.6657626120736,-79.3848671436796
133,577c30f2498e96f8466bde2d,Rabba Fine Foods,Convenience Store,43.669777,-79.380035
134,52c883bd498ed9fd8473b84d,All The Best Fine Foods,Gourmet Shop,43.66503008081415,-79.38060040453553
135,4b588e29f964a520c35d28e3,Duck,Chinese Restaurant,43.660739056022976,-79.38391327857971
136,5aef4a800d173f002cbdef59,Noah’s Natural Foods,Health Food Store,43.661273,-79.382277
137,4e259c7e091a817e3dd6a76d,Sweet & Natural Health Foods & Vita,Pharmacy,43.65958255555429,-79.38229322433472
138,580bc83338faf69cca1de7aa,Salus Fresh Foods,Salad Place,43.661417,-79.38153
139,4ad4c063f964a5203ff820e3,Pusateri's Fine Foods,Gourmet Shop,43.671275167402676,-79.39014235798119
140,4ad4c063f964a52052f820e3,Whole Foods Market,Grocery Store,43.671954,-79.395543
141,5b5a3bae46e1b6002c512d12,IKEA Bistro & Swedish Food Market,Food & Drink Shop,43.767763,-79.367451
142,4d2a05e055a8b60c16d7dbc0,IKEA North York,Furniture / Home Store,43.76831854814136,-79.3686300306581
143,4cbdafc24c60a0933e1e58ca,Pusateri's Fine Foods,Gourmet Shop,43.768679450123244,-79.38413261440179
144,5faa56a1f561ff59324b4001,M&M Food Market,Food Service,43.73412322998047,-79.40433502197266
145,4e35bfa56284ea7e1103e10c,Bruno's Fine Food,Butcher,43.7366419570093,-79.4198699051871
146,525037ef498eb6f5bc7d2615,Szechuan & Thai Specialty food,Asian Restaurant,43.729226,-79.418298
147,4cbb37817148f04dd10ae1ab,Bruno's Food,,43.72960227208224,-79.41891152714062
148,4cb08d7039458cfa5eb103a0,York Mills Centre Food Court,Food Court,43.74463727984939,-79.40650022117964
149,4ae8c0e7f964a520fbb121e3,Loblaws,Grocery Store,43.73525,-79.404517
150,4b89a58af964a520dc4832e3,Global Pet Foods,Pet Store,43.734015,-79.419371
